Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
"Cullman, AL",83345,5163,5102,5168,5220,4608,5408,4910,4343,5652,5418,5598,5772,5642,4471,4560,2730,2169,1411,64638,41.2,97.2,69.1,31.1,37.9,41079,2446,2634,2630,2800,2275,2692,2532,2310,2671,2756,2846,2927,2706,2168,2097,1249,897,443,31674,40.3,,,,,,6,6.4,6.4,6.8,5.5,6.6,6.2,5.6,6.5,6.7,6.9,7.1,6.6,5.3,5.1,3,2.2,1.1,77.1,,,,,,42266,2717,2468,2538,2420,2333,2716,2378,2033,2981,2662,2752,2845,2936,2303,2463,1481,1272,968,32964,42.5,,,,,,6.4,5.8,6,5.7,5.5,6.4,5.6,4.8,7.1,6.3,6.5,6.7,6.9,5.4,5.8,3.5,3,2.3,78,,,,,
"Cullowhee, NC",57676,2624,2931,2958,5339,6019,3297,3111,2750,3413,3345,3145,3296,4106,3471,3423,1827,1307,1314,47173,39.6,94.2,61,31.7,29.3,27973,1335,1435,1566,2255,3304,1652,1558,1340,1732,1603,1515,1450,2040,1567,1680,739,674,528,22654,38.3,,,,,,4.8,5.1,5.6,8.1,11.8,5.9,5.6,4.8,6.2,5.7,5.4,5.2,7.3,5.6,6,2.6,2.4,1.9,81,,,,,,29703,1289,1496,1392,3084,2715,1645,1553,1410,1681,1742,1630,1846,2066,1904,1743,1088,633,786,24519,41.3,,,,,,4.3,5,4.7,10.4,9.1,5.5,5.2,4.7,5.7,5.9,5.5,6.2,7,6.4,5.9,3.7,2.1,2.6,82.5,,,,,
"Cumberland, MD-WV",98049,4579,5019,4902,7008,7354,6024,5688,5918,5262,6377,6437,6768,6518,5686,5567,3608,2796,2538,80353,42.3,107.9,63,33.6,29.4,50883,2419,2799,2447,3711,3894,3515,3316,3551,2692,3494,3366,3235,3380,2801,2532,1645,1205,881,41492,39.6,,,,,,4.8,5.5,4.8,7.3,7.7,6.9,6.5,7,5.3,6.9,6.6,6.4,6.6,5.5,5,3.2,2.4,1.7,81.5,,,,,,47166,2160,2220,2455,3297,3460,2509,2372,2367,2570,2883,3071,3533,3138,2885,3035,1963,1591,1657,38861,45.3,,,,,,4.6,4.7,5.2,7,7.3,5.3,5,5,5.4,6.1,6.5,7.5,6.7,6.1,6.4,4.2,3.4,3.5,82.4,,,,,
"Dallas-Fort Worth-Arlington, TX",7451858,511631,530586,563375,524365,487877,558321,553480,538583,515745,510871,476572,458725,384629,298298,219810,140130,89386,89474,5516498,35,96.9,59.2,17.9,41.4,3666414,261679,266838,290919,266413,244702,277769,273685,264191,253279,251563,236441,225578,185679,139016,98702,61701,36713,31546,2679708,34.1,,,,,,7.1,7.3,7.9,7.3,6.7,7.6,7.5,7.2,6.9,6.9,6.4,6.2,5.1,3.8,2.7,1.7,1,0.9,73.1,,,,,,3785444,249952,263748,272456,257952,243175,280552,279795,274392,262466,259308,240131,233147,198950,159282,121108,78429,52673,57928,2836790,35.8,,,,,,6.6,7,7.2,6.8,6.4,7.4,7.4,7.2,6.9,6.9,6.3,6.2,5.3,4.2,3.2,2.1,1.4,1.5,74.9,,,,,
"Dalton, GA",143911,9274,10263,10725,10309,9388,9850,8940,8985,9210,9872,9804,9388,7594,6742,5433,3839,2444,1851,107088,36.8,98.1,65.8,23.4,42.4,71271,4637,5032,5623,5375,4812,5201,4461,4828,4177,4791,4982,4954,3374,3079,2618,1734,1010,583,52577,35.6,,,,,,6.5,7.1,7.9,7.5,6.8,7.3,6.3,6.8,5.9,6.7,7,7,4.7,4.3,3.7,2.4,1.4,0.8,73.8,,,,,,72640,4637,5231,5102,4934,4576,4649,4479,4157,5033,5081,4822,4434,4220,3663,2815,2105,1434,1268,54511,38,,,,,,6.4,7.2,7,6.8,6.3,6.4,6.2,5.7,6.9,7,6.6,6.1,5.8,5,3.9,2.9,2,1.7,75,,,,,
"Danville, IL",76704,4923,4715,5420,4856,4382,4542,4446,4310,4688,4328,4656,5530,5168,4785,3604,2711,1723,1917,58601,40.8,99.2,74.9,33.6,41.3,38202,2542,2665,2571,2482,2368,2315,2308,2307,2353,2232,2204,2613,2643,2281,1629,1284,670,735,28897,38.9,,,,,,6.7,7,6.7,6.5,6.2,6.1,6,6,6.2,5.8,5.8,6.8,6.9,6,4.3,3.4,1.8,1.9,75.6,,,,,,38502,2381,2050,2849,2374,2014,2227,2138,2003,2335,2096,2452,2917,2525,2504,1975,1427,1053,1182,29704,42.5,,,,,,6.2,5.3,7.4,6.2,5.2,5.8,5.6,5.2,6.1,5.4,6.4,7.6,6.6,6.5,5.1,3.7,2.7,3.1,77.1,,,,,
"Danville, KY",54583,3084,3208,3396,3934,3893,3362,2910,3102,3211,3424,3695,3900,3275,3224,2596,1869,1275,1225,42773,40.5,98.4,67.5,31.3,36.2,27078,1604,1789,1712,2006,1913,1813,1550,1731,1515,1692,1863,2034,1441,1576,1113,872,461,393,20939,38.4,,,,,,5.9,6.6,6.3,7.4,7.1,6.7,5.7,6.4,5.6,6.2,6.9,7.5,5.3,5.8,4.1,3.2,1.7,1.5,77.3,,,,,,27505,1480,1419,1684,1928,1980,1549,1360,1371,1696,1732,1832,1866,1834,1648,1483,997,814,832,21834,43.1,,,,,,5.4,5.2,6.1,7,7.2,5.6,4.9,5,6.2,6.3,6.7,6.8,6.7,6,5.4,3.6,3,3,79.4,,,,,
"Danville, VA",101535,4944,6070,5664,5674,5741,5976,5491,5561,5231,6231,7160,7275,8354,7306,5359,4191,2846,2461,81191,45.4,91.8,72,37.5,34.5,48591,2391,3122,2727,3089,3002,3054,2705,2727,2608,3006,3400,3477,3848,3408,2349,1849,1120,709,38333,42.7,,,,,,4.9,6.4,5.6,6.4,6.2,6.3,5.6,5.6,5.4,6.2,7,7.2,7.9,7,4.8,3.8,2.3,1.5,78.9,,,,,,52944,2553,2948,2937,2585,2739,2922,2786,2834,2623,3225,3760,3798,4506,3898,3010,2342,1726,1752,42858,47.5,,,,,,4.8,5.6,5.5,4.9,5.2,5.5,5.3,5.4,5,6.1,7.1,7.2,8.5,7.4,5.7,4.4,3.3,3.3,80.9,,,,,
"Daphne-Fairhope-Foley, AL",218289,11960,11559,15171,13005,11031,12284,12103,13809,12602,14137,14433,15236,16243,13911,13015,8942,4719,4129,171296,43.2,94.2,72.5,35.3,37.1,105889,6082,5197,8289,6711,5550,6064,5977,6787,5979,6763,7037,7434,7418,6617,6007,4273,2163,1541,82016,41.8,,,,,,5.7,4.9,7.8,6.3,5.2,5.7,5.6,6.4,5.6,6.4,6.6,7,7,6.2,5.7,4,2,1.5,77.5,,,,,,112400,5878,6362,6882,6294,5481,6220,6126,7022,6623,7374,7396,7802,8825,7294,7008,4669,2556,2588,89280,44.5,,,,,,5.2,5.7,6.1,5.6,4.9,5.5,5.5,6.2,5.9,6.6,6.6,6.9,7.9,6.5,6.2,4.2,2.3,2.3,79.4,,,,,
"Davenport-Moline-Rock Island, IA-IL",380274,23303,24196,24835,24482,21966,23387,23651,24712,22285,22829,23703,26081,25942,22593,16668,12176,8135,9330,293111,39.9,97,69.6,30.7,38.9,187258,11859,12521,12463,12543,11178,11674,11903,12745,11043,11428,11770,12839,12480,10539,8280,5663,3387,2943,142893,38.7,,,,,,6.3,6.7,6.7,6.7,6,6.2,6.4,6.8,5.9,6.1,6.3,6.9,6.7,5.6,4.4,3,1.8,1.6,76.3,,,,,,193016,11444,11675,12372,11939,10788,11713,11748,11967,11242,11401,11933,13242,13462,12054,8388,6513,4748,6387,150218,41.3,,,,,,5.9,6,6.4,6.2,5.6,6.1,6.1,6.2,5.8,5.9,6.2,6.9,7,6.2,4.3,3.4,2.5,3.3,77.8,,,,,
"Dayton, TN",32964,2046,2147,2006,2129,2171,2020,1946,2024,1615,2056,2303,2080,2411,1954,1624,1055,802,575,25466,40,97.7,69.4,30.9,38.5,16292,998,1170,931,1148,1069,1087,941,1068,729,1015,1133,1035,1219,1001,706,509,341,192,12465,38.1,,,,,,6.1,7.2,5.7,7,6.6,6.7,5.8,6.6,4.5,6.2,7,6.4,7.5,6.1,4.3,3.1,2.1,1.2,76.5,,,,,,16672,1048,977,1075,981,1102,933,1005,956,886,1041,1170,1045,1192,953,918,546,461,383,13001,41,,,,,,6.3,5.9,6.4,5.9,6.6,5.6,6,5.7,5.3,6.2,7,6.3,7.1,5.7,5.5,3.3,2.8,2.3,78,,,,,
"Dayton-Kettering, OH",805929,48293,47566,50214,53105,54266,56016,51610,48248,44836,47236,51199,56039,53519,45177,36647,26331,17534,18093,629129,39.3,94.3,66.1,29.6,36.4,391247,24793,24758,25432,27070,27352,28116,25730,23848,21751,22978,24836,27177,25365,21185,16211,11486,6771,6388,300444,37.4,,,,,,6.3,6.3,6.5,6.9,7,7.2,6.6,6.1,5.6,5.9,6.3,6.9,6.5,5.4,4.1,2.9,1.7,1.6,76.8,,,,,,414682,23500,22808,24782,26035,26914,27900,25880,24400,23085,24258,26363,28862,28154,23992,20436,14845,10763,11705,328685,41,,,,,,5.7,5.5,6,6.3,6.5,6.7,6.2,5.9,5.6,5.8,6.4,7,6.8,5.8,4.9,3.6,2.6,2.8,79.3,,,,,
"Decatur, AL",152321,9026,9401,10047,9268,8494,9937,8913,9330,9001,10007,10804,10523,10793,8782,6935,4438,3326,3296,117799,40.9,96,67.3,29.4,37.9,74623,4543,5015,5040,4672,4240,5038,4524,4370,4824,4967,5308,5155,5270,4133,3002,1903,1194,1425,57009,39.9,,,,,,6.1,6.7,6.8,6.3,5.7,6.8,6.1,5.9,6.5,6.7,7.1,6.9,7.1,5.5,4,2.6,1.6,1.9,76.4,,,,,,77698,4483,4386,5007,4596,4254,4899,4389,4960,4177,5040,5496,5368,5523,4649,3933,2535,2132,1871,60790,42.2,,,,,,5.8,5.6,6.4,5.9,5.5,6.3,5.6,6.4,5.4,6.5,7.1,6.9,7.1,6,5.1,3.3,2.7,2.4,78.2,,,,,
"Decatur, IL",104688,6423,6322,6628,6664,6366,6611,5991,6019,5878,5839,6338,7434,7368,6268,5288,3383,2765,3103,81369,41.1,91.4,72.9,34.4,38.5,49992,3277,3120,3499,3288,3046,3171,2938,2704,2932,2852,3024,3643,3458,2758,2605,1583,1014,1080,38148,39.9,,,,,,6.6,6.2,7,6.6,6.1,6.3,5.9,5.4,5.9,5.7,6,7.3,6.9,5.5,5.2,3.2,2,2.2,76.3,,,,,,54696,3146,3202,3129,3376,3320,3440,3053,3315,2946,2987,3314,3791,3910,3510,2683,1800,1751,2023,43221,42.1,,,,,,5.8,5.9,5.7,6.2,6.1,6.3,5.6,6.1,5.4,5.5,6.1,6.9,7.1,6.4,4.9,3.3,3.2,3.7,79,,,,,
"Decatur, IN",35544,3316,2956,3242,2550,2173,2134,1962,1861,1855,1877,1979,1821,2367,1759,1175,801,711,1005,24368,33.2,99.7,87.9,28.8,59.1,17744,1666,1669,1602,1337,1129,1136,930,949,923,946,1006,902,1140,840,555,385,340,289,11959,31.6,,,,,,9.4,9.4,9,7.5,6.4,6.4,5.2,5.3,5.2,5.3,5.7,5.1,6.4,4.7,3.1,2.2,1.9,1.6,67.4,,,,,,17800,1650,1287,1640,1213,1044,998,1032,912,932,931,973,919,1227,919,620,416,371,716,12409,35.2,,,,,,9.3,7.2,9.2,6.8,5.9,5.6,5.8,5.1,5.2,5.2,5.5,5.2,6.9,5.2,3.5,2.3,2.1,4,69.7,,,,,
"Defiance, OH",38024,2237,2304,2540,2677,2349,2247,2090,2214,2460,2269,2215,2766,2577,2437,1672,1459,685,826,29313,40.7,98.3,71,31.8,39.2,18849,1157,1217,1275,1378,1184,1207,1105,1038,1144,1163,1141,1504,1098,1252,757,651,323,255,14389,39.3,,,,,,6.1,6.5,6.8,7.3,6.3,6.4,5.9,5.5,6.1,6.2,6.1,8,5.8,6.6,4,3.5,1.7,1.4,76.3,,,,,,19175,1080,1087,1265,1299,1165,1040,985,1176,1316,1106,1074,1262,1479,1185,915,808,362,571,14924,42,,,,,,5.6,5.7,6.6,6.8,6.1,5.4,5.1,6.1,6.9,5.8,5.6,6.6,7.7,6.2,4.8,4.2,1.9,3,77.8,,,,,
"Del Rio, TX",49018,4047,3483,4076,3663,4032,3926,3264,3022,2729,2773,2651,2133,2210,2131,1741,1175,761,1201,35133,32.2,103.7,74.3,24.9,49.4,24955,2046,1701,2112,1892,2340,2170,1832,1498,1484,1380,1341,858,1158,838,928,580,347,450,17958,30.8,,,,,,8.2,6.8,8.5,7.6,9.4,8.7,7.3,6,5.9,5.5,5.4,3.4,4.6,3.4,3.7,2.3,1.4,1.8,72,,,,,,24063,2001,1782,1964,1771,1692,1756,1432,1524,1245,1393,1310,1275,1052,1293,813,595,414,751,17175,34.2,,,,,,8.3,7.4,8.2,7.4,7,7.3,6,6.3,5.2,5.8,5.4,5.3,4.4,5.4,3.4,2.5,1.7,3.1,71.4,,,,,
"Deltona-Daytona Beach-Ormond Beach, FL",658961,30125,31914,32909,35523,36087,38349,35896,33583,34527,38210,42433,49747,51379,51818,42839,32124,20587,20911,543527,47.5,94.4,75.6,44.8,30.8,320032,14796,16100,16939,18591,18435,19783,18196,16285,17256,18773,20236,22944,24149,24044,20571,15274,9060,8600,261678,45.7,,,,,,4.6,5,5.3,5.8,5.8,6.2,5.7,5.1,5.4,5.9,6.3,7.2,7.5,7.5,6.4,4.8,2.8,2.7,81.8,,,,,,338929,15329,15814,15970,16932,17652,18566,17700,17298,17271,19437,22197,26803,27230,27774,22268,16850,11527,12311,281849,49.2,,,,,,4.5,4.7,4.7,5,5.2,5.5,5.2,5.1,5.1,5.7,6.5,7.9,8,8.2,6.6,5,3.4,3.6,83.2,,,,,
"Deming, NM",24022,1755,1759,1786,1604,1655,1331,1546,1307,1129,1158,1305,1390,1362,1291,1351,911,825,557,17707,37.2,101.5,88.1,38.6,49.4,12099,891,751,1085,874,773,674,884,642,591,575,636,554,774,626,638,475,294,362,8877,35.5,,,,,,7.4,6.2,9,7.2,6.4,5.6,7.3,5.3,4.9,4.8,5.3,4.6,6.4,5.2,5.3,3.9,2.4,3,73.4,,,,,,11923,864,1008,701,730,882,657,662,665,538,583,669,836,588,665,713,436,531,195,8830,38.1,,,,,,7.2,8.5,5.9,6.1,7.4,5.5,5.6,5.6,4.5,4.9,5.6,7,4.9,5.6,6,3.7,4.5,1.6,74.1,,,,,
"Denver-Aurora-Lakewood, CO",2928437,173225,180902,190445,175841,170516,244547,249106,224968,206864,197745,182857,188998,162202,135305,101349,60593,38572,44402,2271694,36.7,100.1,54.8,20.1,34.7,1464957,88283,91629,98626,90441,86723,125102,128669,115389,105682,100685,91612,93142,78430,63406,47601,27668,16074,15795,1129121,35.9,,,,,,6,6.3,6.7,6.2,5.9,8.5,8.8,7.9,7.2,6.9,6.3,6.4,5.4,4.3,3.2,1.9,1.1,1.1,77.1,,,,,,1463480,84942,89273,91819,85400,83793,119445,120437,109579,101182,97060,91245,95856,83772,71899,53748,32925,22498,28607,1142573,37.5,,,,,,5.8,6.1,6.3,5.8,5.7,8.2,8.2,7.5,6.9,6.6,6.2,6.5,5.7,4.9,3.7,2.2,1.5,2,78.1,,,,,
"DeRidder, LA",37387,2547,1937,3100,2510,2300,2543,2500,2286,2347,2510,2218,2619,2090,1647,1890,1024,816,503,28147,37.5,103.8,67.9,26.4,41.5,19043,1303,934,1679,1298,1296,1397,1418,1172,1232,1249,1095,1294,964,805,846,607,306,148,14291,35.5,,,,,,6.8,4.9,8.8,6.8,6.8,7.3,7.4,6.2,6.5,6.6,5.8,6.8,5.1,4.2,4.4,3.2,1.6,0.8,75,,,,,,18344,1244,1003,1421,1212,1004,1146,1082,1114,1115,1261,1123,1325,1126,842,1044,417,510,355,13856,39.6,,,,,,6.8,5.5,7.7,6.6,5.5,6.2,5.9,6.1,6.1,6.9,6.1,7.2,6.1,4.6,5.7,2.3,2.8,1.9,75.5,,,,,
"Des Moines-West Des Moines, IA",690585,47622,48417,48933,43732,41699,50462,50794,51310,44689,43841,42681,44159,37740,32039,23723,16120,10682,11942,517724,36.4,97.7,63.2,22.3,40.8,341251,24403,24724,24954,22347,20775,25211,25762,26267,22133,22072,21381,21587,18243,14800,11293,6886,4211,4202,252949,35.5,,,,,,7.2,7.2,7.3,6.5,6.1,7.4,7.5,7.7,6.5,6.5,6.3,6.3,5.3,4.3,3.3,2,1.2,1.2,74.1,,,,,,349334,23219,23693,23979,21385,20924,25251,25032,25043,22556,21769,21300,22572,19497,17239,12430,9234,6471,7740,264775,37.3,,,,,,6.6,6.8,6.9,6.1,6,7.2,7.2,7.2,6.5,6.2,6.1,6.5,5.6,4.9,3.6,2.6,1.9,2.2,75.8,,,,,
"Detroit-Warren-Dearborn, MI",4317384,252680,253850,274932,268535,264585,307998,271280,260662,256455,288825,302148,314529,292486,237157,179732,118945,78996,93589,3363624,40.1,95,62.6,26.7,35.9,2102911,129419,128826,141396,137772,134304,155824,135524,127397,124056,140275,147574,151705,141054,110770,81198,51807,32657,31353,1615279,38.4,,,,,,6.2,6.1,6.7,6.6,6.4,7.4,6.4,6.1,5.9,6.7,7,7.2,6.7,5.3,3.9,2.5,1.6,1.5,76.8,,,,,,2214473,123261,125024,133536,130763,130281,152174,135756,133265,132399,148550,154574,162824,151432,126387,98534,67138,46339,62236,1748345,41.6,,,,,,5.6,5.6,6,5.9,5.9,6.9,6.1,6,6,6.7,7,7.4,6.8,5.7,4.4,3,2.1,2.8,79,,,,,
"Dickinson, ND",32050,2731,2400,2162,1811,2094,2547,2553,2460,1645,1739,1914,2152,1564,1415,779,806,627,651,23540,34.5,107.2,66.4,22.2,44.2,16584,1473,1281,1058,987,987,1350,1413,1273,840,1032,1022,1080,853,776,347,329,270,213,12101,34.1,,,,,,8.9,7.7,6.4,6,6,8.1,8.5,7.7,5.1,6.2,6.2,6.5,5.1,4.7,2.1,2,1.6,1.3,73,,,,,,15466,1258,1119,1104,824,1107,1197,1140,1187,805,707,892,1072,711,639,432,477,357,438,11439,34.9,,,,,,8.1,7.2,7.1,5.3,7.2,7.7,7.4,7.7,5.2,4.6,5.8,6.9,4.6,4.1,2.8,3.1,2.3,2.8,74,,,,,
"Dixon, IL",34204,1706,2009,1827,1805,1805,2205,2082,1997,2350,2233,2335,2723,2456,2058,1708,1088,733,1084,27479,43.5,113.2,64.4,32.1,32.3,18161,827,1051,941,925,980,1287,1281,1196,1368,1181,1251,1552,1184,974,920,585,369,289,14719,41.8,,,,,,4.6,5.8,5.2,5.1,5.4,7.1,7.1,6.6,7.5,6.5,6.9,8.5,6.5,5.4,5.1,3.2,2,1.6,81,,,,,,16043,879,958,886,880,825,918,801,801,982,1052,1084,1171,1272,1084,788,503,364,795,12760,45.8,,,,,,5.5,6,5.5,5.5,5.1,5.7,5,5,6.1,6.6,6.8,7.3,7.9,6.8,4.9,3.1,2.3,5,79.5,,,,,
"Dodge City, KS",33718,2947,3020,2589,2646,2317,2459,2184,2398,1735,1934,2030,2296,1501,1332,723,638,396,573,23554,32.5,108.8,69.5,18.4,51.1,17568,1466,1536,1364,1449,1297,1355,1193,1192,956,1009,1069,1247,751,802,216,259,160,247,12334,31.8,,,,,,8.3,8.7,7.8,8.2,7.4,7.7,6.8,6.8,5.4,5.7,6.1,7.1,4.3,4.6,1.2,1.5,0.9,1.4,70.2,,,,,,16150,1481,1484,1225,1197,1020,1104,991,1206,779,925,961,1049,750,530,507,379,236,326,11220,33.1,,,,,,9.2,9.2,7.6,7.4,6.3,6.8,6.1,7.5,4.8,5.7,6,6.5,4.6,3.3,3.1,2.3,1.5,2,69.5,,,,,
"Dothan, AL",148825,8819,8954,9806,9333,8148,9245,8994,8602,9446,9396,9943,10743,9503,8768,7444,5105,3344,3232,115165,41.2,92.5,70.5,32,38.6,71526,4598,4448,5147,4787,4040,4504,4306,4247,4339,4516,4867,5122,4521,4123,3350,2189,1364,1058,54236,39.6,,,,,,6.4,6.2,7.2,6.7,5.6,6.3,6,5.9,6.1,6.3,6.8,7.2,6.3,5.8,4.7,3.1,1.9,1.5,75.8,,,,,,77299,4221,4506,4659,4546,4108,4741,4688,4355,5107,4880,5076,5621,4982,4645,4094,2916,1980,2174,60929,42.9,,,,,,5.5,5.8,6,5.9,5.3,6.1,6.1,5.6,6.6,6.3,6.6,7.3,6.4,6,5.3,3.8,2.6,2.8,78.8,,,,,
"Douglas, GA",51381,3525,3881,3196,3920,3185,3889,2989,3004,4083,3370,3286,3164,2774,2778,1873,1259,784,421,38610,36.8,103.8,63.1,22.6,40.5,26169,1754,1917,1674,1972,1770,2185,1604,1669,2131,1788,1744,1569,1381,1295,675,601,352,88,19697,35.8,,,,,,6.7,7.3,6.4,7.5,6.8,8.3,6.1,6.4,8.1,6.8,6.7,6,5.3,4.9,2.6,2.3,1.3,0.3,75.3,,,,,,25212,1771,1964,1522,1948,1415,1704,1385,1335,1952,1582,1542,1595,1393,1483,1198,658,432,333,18913,38,,,,,,7,7.8,6,7.7,5.6,6.8,5.5,5.3,7.7,6.3,6.1,6.3,5.5,5.9,4.8,2.6,1.7,1.3,75,,,,,
"Dover, DE",179124,11091,11901,11253,12006,12739,12741,11500,10076,10872,10304,11223,12309,10444,9728,8279,5977,3633,3048,137999,38.1,93,66.9,28.6,38.3,86313,5646,5970,5898,5901,6522,6467,5600,5168,4764,4871,5317,5829,4761,4535,3663,2407,1663,1331,65380,36.3,,,,,,6.5,6.9,6.8,6.8,7.6,7.5,6.5,6,5.5,5.6,6.2,6.8,5.5,5.3,4.2,2.8,1.9,1.5,75.7,,,,,,92811,5445,5931,5355,6105,6217,6274,5900,4908,6108,5433,5906,6480,5683,5193,4616,3570,1970,1717,72619,40.2,,,,,,5.9,6.4,5.8,6.6,6.7,6.8,6.4,5.3,6.6,5.9,6.4,7,6.1,5.6,5,3.8,2.1,1.8,78.2,,,,,
"Dublin, GA",63908,4085,4019,4505,4089,3802,4032,3533,3963,4166,3940,4103,4350,4022,3528,3027,1846,1588,1310,48769,39.9,97.4,70.6,30.2,40.4,31530,2177,2025,2426,2026,2054,2063,1683,2104,2081,2092,1971,2101,1940,1779,1207,774,437,590,23644,37.9,,,,,,6.9,6.4,7.7,6.4,6.5,6.5,5.3,6.7,6.6,6.6,6.3,6.7,6.2,5.6,3.8,2.5,1.4,1.9,75,,,,,,32378,1908,1994,2079,2063,1748,1969,1850,1859,2085,1848,2132,2249,2082,1749,1820,1072,1151,720,25125,42.2,,,,,,5.9,6.2,6.4,6.4,5.4,6.1,5.7,5.7,6.4,5.7,6.6,6.9,6.4,5.4,5.6,3.3,3.6,2.2,77.6,,,,,
"DuBois, PA",79466,3689,3988,4142,4003,4322,4916,4577,5097,4600,5751,5951,6650,5474,4968,4027,2920,2393,1998,65022,45.4,111.4,63.1,33.5,29.6,41869,1932,2095,2116,2086,2408,2881,2668,3180,2362,3252,3240,3562,2703,2520,1901,1252,977,734,34381,43.6,,,,,,4.6,5,5.1,5,5.8,6.9,6.4,7.6,5.6,7.8,7.7,8.5,6.5,6,4.5,3,2.3,1.8,82.1,,,,,,37597,1757,1893,2026,1917,1914,2035,1909,1917,2238,2499,2711,3088,2771,2448,2126,1668,1416,1264,30641,47.5,,,,,,4.7,5,5.4,5.1,5.1,5.4,5.1,5.1,6,6.6,7.2,8.2,7.4,6.5,5.7,4.4,3.8,3.4,81.5,,,,,
"Dubuque, IA",97193,6054,6445,5832,7032,6632,6307,5810,6166,4858,5323,6164,6675,6639,5288,4083,3102,2296,2487,75027,38.5,97.4,68.2,29.9,38.4,47950,3059,3103,3125,3696,3372,3176,3032,3057,2574,2595,3075,3332,3239,2701,1778,1265,1006,765,36647,37,,,,,,6.4,6.5,6.5,7.7,7,6.6,6.3,6.4,5.4,5.4,6.4,6.9,6.8,5.6,3.7,2.6,2.1,1.6,76.4,,,,,,49243,2995,3342,2707,3336,3260,3131,2778,3109,2284,2728,3089,3343,3400,2587,2305,1837,1290,1722,38380,39.9,,,,,,6.1,6.8,5.5,6.8,6.6,6.4,5.6,6.3,4.6,5.5,6.3,6.8,6.9,5.3,4.7,3.7,2.6,3.5,77.9,,,,,
"Duluth, MN-WI",289276,14458,15353,16708,19126,22859,16922,16754,17137,16484,16220,17859,21720,22020,19579,12789,9670,6241,7377,232934,41.6,102,63.2,31.4,31.8,146067,7430,7869,8659,9774,11722,8939,8764,8703,8862,8483,9009,10632,11179,10193,6168,4541,2569,2571,117040,40.7,,,,,,5.1,5.4,5.9,6.7,8,6.1,6,6,6.1,5.8,6.2,7.3,7.7,7,4.2,3.1,1.8,1.8,80.1,,,,,,143209,7028,7484,8049,9352,11137,7983,7990,8434,7622,7737,8850,11088,10841,9386,6621,5129,3672,4806,115894,42.6,,,,,,4.9,5.2,5.6,6.5,7.8,5.6,5.6,5.9,5.3,5.4,6.2,7.7,7.6,6.6,4.6,3.6,2.6,3.4,80.9,,,,,
"Dumas, TX",21169,2018,2006,1787,1463,1484,1523,1300,1284,1401,1302,1148,1107,1003,992,421,207,307,416,14418,30.8,111.6,75.3,19.4,55.9,11165,1096,1124,985,681,903,750,678,577,839,760,614,422,647,521,151,71,103,243,7481,30.2,,,,,,9.8,10.1,8.8,6.1,8.1,6.7,6.1,5.2,7.5,6.8,5.5,3.8,5.8,4.7,1.4,0.6,0.9,2.2,67,,,,,,10004,922,882,802,782,581,773,622,707,562,542,534,685,356,471,270,136,204,173,6937,32.2,,,,,,9.2,8.8,8,7.8,5.8,7.7,6.2,7.1,5.6,5.4,5.3,6.8,3.6,4.7,2.7,1.4,2,1.7,69.3,,,,,
